variant,regime,seed,test_level,class,support,precision,recall,f1,average_precision,tp,fp,fn,tn
ed_residual,ed_r2,0,0.4,Marine waters,116,0.9830508474576272,1.0,0.9914529914529915,0.9999999999999999,116,2,0,2033
ed_residual,ed_r2,0,0.4,Mixed forest,1214,0.740340030911901,0.7891268533772653,0.7639553429027113,0.8432164886549816,958,336,256,601
ed_residual,ed_r2,0,0.4,Pastures,916,0.715633423180593,0.5796943231441049,0.6405307599517491,0.7517799708229113,531,211,385,1024
ed_residual,ed_r2,0,0.4,"Transitional woodland, shrub",885,0.5804878048780487,0.4033898305084746,0.476,0.5611283990761372,357,258,528,1008
ed_residual,ed_r2,0,0.4,Urban fabric,265,0.6363636363636364,0.3169811320754717,0.42317380352644834,0.5375623091509144,84,48,181,1838
ed_residual,ed_r2,0,0.6,Arable land,883,0.7383390216154722,0.7349943374858438,0.7366628830874007,0.8242953328031638,649,230,234,1038
ed_residual,ed_r2,0,0.6,Broad-leaved forest,511,0.49321266968325794,0.42661448140900193,0.45750262329485836,0.4985481207472471,218,224,293,1416
ed_residual,ed_r2,0,0.6,Complex cultivation patterns,1172,0.7490580256217031,0.8481228668941979,0.7955182072829131,0.8454810536810646,994,333,178,646
ed_residual,ed_r2,0,0.6,Coniferous forest,1193,0.8995943204868154,0.7435037720033529,0.8141349242771914,0.9261748487196815,887,99,306,859
ed_residual,ed_r2,0,0.6,Inland waters,379,0.8772727272727273,0.5092348284960422,0.6444073455759599,0.7582409407640396,193,27,186,1745
ed_residual,ed_r2,0,0.6,"Land principally occupied by agriculture, with significant areas of natural vegetation",996,0.6993339676498572,0.7379518072289156,0.7181240840254031,0.7548815208886235,735,316,261,839
ed_residual,ed_r2,0,0.6,Marine waters,116,0.9586776859504132,1.0,0.9789029535864979,0.9999999999999997,116,5,0,2030
ed_residual,ed_r2,0,0.6,Mixed forest,1214,0.7489812550937245,0.757001647446458,0.7529700942236788,0.8153965353224255,919,308,295,629
ed_residual,ed_r2,0,0.6,Pastures,916,0.6962190352020861,0.5829694323144105,0.6345811051693404,0.7248393573697541,534,233,382,1002
ed_residual,ed_r2,0,0.6,"Transitional woodland, shrub",885,0.5520504731861199,0.3954802259887006,0.4608294930875576,0.5595077405254799,350,284,535,982
ed_residual,ed_r2,0,0.6,Urban fabric,265,0.6379310344827587,0.2792452830188679,0.3884514435695538,0.48061846560512744,74,42,191,1844
ed_residual,ed_r2,0,0.8,Arable land,883,0.655958549222798,0.7168742921857305,0.685064935064935,0.7628796182579041,633,332,250,936
ed_residual,ed_r2,0,0.8,Broad-leaved forest,511,0.46984924623115576,0.3659491193737769,0.41144114411441146,0.4726216816768209,187,211,324,1429
ed_residual,ed_r2,0,0.8,Complex cultivation patterns,1172,0.7073684210526315,0.8600682593856656,0.7762803234501348,0.816563032119443,1008,417,164,562
